,,온누리상품권 홈페이지 소비데이터 고도화 사업,,,,,,,,,.jsp .js,Controller.java,Service.java,ServiceImpl.java,Dao.java,Dto.java,Dao_sql.xml,,,,,,,,,,,,,,프로그램 사양서(목록),,,,
디지털온누리 통합포털 개발,"온누리상품권 누리집
2026 상반기 개편",관리 사이트 개발,콘텐츠 관리,행사 콘텐츠 게시 관리,,인터페이스,상,행사 콘텐츠 게시 상세 조회,,SSP_SEE_ADM_053,,FestivalController,FestivalService,FestivalServiceImpl,FestivalMapper,FestivalPostDto,selectFestivalPostDetail,"TB_PTM_FESTIVAL_INFO_M
TB_PTM_FESTIVAL_POST_M
TB_PTM_FESTIVAL_IMG_M
TB_PTM_TAG_M
TB_TUSR_USER_M",4/13/26,4/17/26,,,정진솔,,,,,정진솔,백상용,,,,,,
디지털온누리 통합포털 개발,"온누리상품권 누리집
2026 상반기 개편",관리 사이트 개발,콘텐츠 관리,행사 콘텐츠 게시 관리,,인터페이스,상,행사 콘텐츠 게시 설정,,SSP_SEE_ADM_054,,FestivalController,FestivalService,FestivalServiceImpl,FestivalMapper,FestivalPostDto,updateFestivalPostDetail,"TB_PTM_FESTIVAL_INFO_M
TB_PTM_FESTIVAL_POST_M
TB_PTM_FESTIVAL_IMG_M
TB_PTM_TAG_M
TB_TUSR_USER_M",4/13/26,4/17/26,,,정진솔,,,,,정진솔,백상용,,,,,,
디지털온누리 통합포털 개발,"온누리상품권 누리집
2026 상반기 개편",관리 사이트 개발,콘텐츠 관리,행사 콘텐츠 게시 관리,,인터페이스,상,행사 콘텐츠 게시 이력 적재,,SSP_SEE_ADM_055,,FestivalController,FestivalService,FestivalServiceImpl,FestivalMapper,FestivalPostHistoryDto,insertFestivalPostHistory,TB_PTM_FESTIVAL_POST_H,4/20/26,5/8/26,,,정진솔,,,,,정진솔,백상용,,,,,,
디지털온누리 통합포털 개발,"온누리상품권 누리집
2026 상반기 개편",배치 개발,축제공연행사 데이터 관리,축제공연행사 데이터 적재 및 갱신,,배치,상,한국관광공사 축제공연행사 관련 Open API 응답값 적재 및 관리자 관리 DB 이관,,SSP_SEE_BAT_001,,"BatchController
FestivalSchedular","FestivalJobService
FestivalJobConfig
SeqInitTasklet
ApiUtil","FestivalProcessor1/2/3/4/5
FestivalStep0/1/2/3/4/5/6Config","JobMasterMapper
StepDetailMapper","FestivalImgDto
FestivalInfoDto
FestivalIntroDto
FestivalLoopDto","insert
updateStatus
insert
update","BT_PTM_FESTIVAL_INFO_M
BT_PTM_FESTIVAL_INTRO_M
BT_PTM_FESTIVAL_LOOP_M
BT_PTM_FESTIVAL_IMG_M
BT_JOB_MASTER_H
BT_STEP_DETAIL_H
TB_PTM_FESTIVAL_INFO_M
TB_PTM_FESTIVAL_POST_M
TB_PTM_FESTIVAL_IMG_M",3/4/26,4/3/26,,,정진솔,,,,,정진솔,백상용,,,,,,
디지털온누리 통합포털 개발,"온누리상품권 누리집
2026 상반기 개편",내부 인터페이스 API 개발,메인,지역 축제 공연 조회,,인터페이스,상,지역 축제 공연 조회,,SSP_SEE_API_052,,PlaceController,PlaceService,PlaceServiceImpl,PlaceMapper,"PlaceFestivalListV1ReqDto
PlaceFestivalListV1ResDto",selectPlaceFestivalList,TB_PTM_FESTIVAL_INFO_M,4/3/26,4/7/26,,,조성호,,,,,조성호,백상용,,,,,,
디지털온누리 통합포털 개발,"온누리상품권 누리집
2026 상반기 개편",내부 인터페이스 API 개발,지도 검색,온누리플레이스 지역 축제 공연 검색,,인터페이스,상,온누리플레이스 지역 축제 공연 검색,,SSP_SEE_API_053,,PlaceController,PlaceService,PlaceServiceImpl,PlaceMapper,"PlaceFestivalListV1ReqDto
PlaceFestivalListV1ResDto",selectPlaceFestivalList,TB_PTM_FESTIVAL_INFO_M,4/10/26,4/15/26,,,조성호,,,,,조성호,백상용,,,,,,
디지털온누리 통합포털 개발,"온누리상품권 누리집
2026 상반기 개편",내부 인터페이스 API 개발,지도 검색,"온누리플레이스 지역 축제 공연 배너
 목록 조회",,인터페이스,상,온누리플레이스 지역 축제 공연 배너 목록 조회,,SSP_SEE_API_054,,PlaceController,PlaceService,PlaceServiceImpl,PlaceMapper,"PlaceFestivalListV1ReqDto
PlaceFestivalListV1ResDto",selectPlaceFestivalBannerList,TB_PTM_FESTIVAL_INFO_M,4/15/26,4/20/26,,,조성호,,,,,조성호,백상용,,,,,,
디지털온누리 통합포털 개발,"온누리상품권 누리집
2026 상반기 개편",내부 인터페이스 API 개발,지역축제공연,지역 축제 공연 목록 조회,,인터페이스,상,지역 축제 공연 목록 조회,,SSP_SEE_API_055,,FestivalController,FestivalService,FestivalServiceImpl,FestivalMapper,"FestivalListV1ReqDto
FestivalListV1ResDto","selectFestivalCnt
selectFestivalList",TB_PTM_FESTIVAL_INFO_M,4/1/26,4/5/26,,,조성호,,,,,조성호,백상용,,,,,,
디지털온누리 통합포털 개발,"온누리상품권 누리집
2026 상반기 개편",내부 인터페이스 API 개발,지역축제공연,지역 축제 공연 상세 조회,,인터페이스,상,지역 축제 공연 상세 조회,,SSP_SEE_API_056,,FestivalController,FestivalService,FestivalServiceImpl,FestivalMapper,"FestivalDetailV1ReqDto
FestivalDetailV1ResDto",selectFestivalDetail,TB_PTM_FESTIVAL_INFO_M,4/5/26,4/10/26,,,조성호,,,,,조성호,백상용,,,,,,
디지털온누리 통합포털 개발,온누리상품권 누리집 2026 상반기 개편,온누리기프트 사이트 UI/UX 개발,가볼곳 쓸곳,지역 축제 공연 목록 pc,,화면(Web),중,지역 축제 공연 목록,SCR-SEE-FE-071,,src/routes/pc/visit/festivalList.tsx,,,,,,,,4/20/26,5/6/26,,,강덕민,,,,,강덕민,백상용,,,,,,
디지털온누리 통합포털 개발,온누리상품권 누리집 2026 상반기 개편,온누리기프트 사이트 UI/UX 개발,가볼곳 쓸곳,지역 축제 공연 목록 mobile,,화면(Web),중,지역 축제 공연 목록,SCR-SEE-FE-072,,src/routes/mobile/visit/festivalList.tsx,,,,,,,,4/20/26,5/6/26,,,강덕민,,,,,강덕민,백상용,,,,,,
디지털온누리 통합포털 개발,온누리상품권 누리집 2026 상반기 개편,온누리기프트 사이트 UI/UX 개발,가볼곳 쓸곳,지역 축제 공연 상세 pc,,화면(Web),중,지역 축제 공연 상세,SCR-SEE-FE-073,,src/routes/pc/visit/festivalDetail.tsx,,,,,,,,4/20/26,5/6/26,,,강덕민,,,,,강덕민,백상용,,,,,,
디지털온누리 통합포털 개발,온누리상품권 누리집 2026 상반기 개편,온누리기프트 사이트 UI/UX 개발,가볼곳 쓸곳,지역 축제 공연 상세 mobile,,화면(Web),중,지역 축제 공연 상세,SCR-SEE-FE-074,,src/routes/mobile/visit/festivalDetail.tsx,,,,,,,,4/20/26,5/6/26,,,강덕민,,,,,강덕민,백상용,,,,,,
디지털온누리 통합포털 개발,온누리상품권 누리집 2026 상반기 개편,온누리기프트 사이트 UI/UX 개발,가볼곳 쓸곳,지역 축제 공연 공통 hook,,화면(Web),중,지역 축제 공연 공통,SCR-SEE-FE-075,,src/hooks/useFestival.ts,,,,,,,,4/20/26,5/6/26,,,강덕민,,,,,강덕민,백상용,,,,,,
디지털온누리 통합포털 개발,온누리상품권 누리집 2026 상반기 개편,온누리기프트 사이트 UI/UX 개발,가볼곳 쓸곳,지역 축제 공연 공통 api 통신 hook,,화면(Web),중,지역 축제 공연 공통,SCR-SEE-FE-076,,src/hooks/queries/useFestival.ts,,,,,,,,4/20/26,5/6/26,,,강덕민,,,,,강덕민,백상용,,,,,,
